Consumption per country in MWh;;;;;;;;;
Data was last updated 31-12-2018;;;;;;;;;
;NO;SE;FI;DK;Nordic;EE;LV;LT;Baltic
01.01.2018;420628;395601;240677;82283;1139206;20840;17010;27836;65686
02.01.2018;453387;437498;256824;97792;1245511;24329;20491;33880;78700
03.01.2018;470349;449380;257788;104997;1282523;25598;21978;35619;83195
04.01.2018;466056;466901;262665;105990;1301625;26027;22352;36019;84398
05.01.2018;470882;461843;262404;104428;1299561;25705;22295;35862;83862
06.01.2018;464448;444727;246793;94299;1250272;23399;19728;32266;75393
07.01.2018;469121;456062;252089;95397;1272679;23389;19191;31626;74206
08.01.2018;480008;485897;275098;109543;1350560;27032;22294;36616;85942
09.01.2018;487467;483181;272630;102655;1345944;27181;22580;37096;86857
10.01.2018;489755;500907;278612;106295;1375585;27546;22877;38066;88489
11.01.2018;476834;488453;285564;106837;1357703;28134;23407;38510;90051
12.01.2018;476711;486038;290233;103216;1356216;28615;23238;38177;90030
13.01.2018;457175;450983;267725;92467;1268363;26466;21458;34042;81966
14.01.2018;453704;448226;254700;91686;1248328;26061;21195;33888;81144
15.01.2018;488175;492745;281607;105157;1367698;30263;24267;39016;93546
16.01.2018;472776;488899;290555;107186;1359410;29363;24406;39293;93062
17.01.2018;471261;489727;292618;108401;1362020;31289;24974;39561;95824
18.01.2018;485022;489454;287086;108791;1370343;30229;24491;38326;93046
19.01.2018;486455;489413;291614;104992;1372482;29220;23614;38154;90988
20.01.2018;463525;457329;280018;92733;1293616;26163;21024;34393;81580
21.01.2018;459408;462883;280282;91731;1294303;24878;20219;33320;78417
22.01.2018;498753;511697;305235;106537;1422246;28594;23950;38703;91247
23.01.2018;488805;509019;310739;106571;1415152;28854;24383;39552;92789
24.01.2018;459999;459666;293795;102579;1316052;29165;24659;39870;93694
25.01.2018;449510;443627;270480;101672;1265299;27879;23540;38622;90041
26.01.2018;459341;443759;267824;101276;1272215;26878;23241;37516;87635
27.01.2018;458604;416397;254582;89908;1219501;24018;20548;33806;78372
28.01.2018;436477;419512;252742;85573;1194305;23899;20090;32800;76789
29.01.2018;467007;461222;271394;100157;1299806;26856;22607;36891;86354
30.01.2018;472668;472828;277033;110823;1333378;27842;22795;37168;87805
31.01.2018;462673;467688;281834;105514;1317731;27775;22833;37051;87659
01.02.2018;465488;466473;287101;104112;1323211;27758;23202;37634;88594
02.02.2018;495489;489327;275574;104372;1364768;26941;22818;36933;86692
03.02.2018;488519;474548;277138;96753;1336962;24850;20394;32984;78228
04.02.2018;486469;477300;287009;93204;1343996;25123;20075;32495;77693
05.02.2018;509026;540844;307040;110203;1467122;28869;23593;37812;90274
