Consumption per country in MWh;;;;;;;;;
Data was last updated 11-01-2018;;;;;;;;;
;NO;SE;FI;DK;Nordic;EE;LV;LT;Baltic
01.01.2016;393811;393138;253018;80280;1120258;22911;18889;25070;66870
02.01.2016;420780;432857;269913;86591;1210155;25405;20584;26974;72963
03.01.2016;449122;456162;269226;90047;1264560;25528;21212;28763;75503
04.01.2016;499773;518798;297791;105833;1422208;29795;24468;32932;87195
05.01.2016;511110;526033;312776;108221;1458151;30573;25316;34521;90410
06.01.2016;525431;537973;318080;109280;1490773;31533;25799;35337;92669
07.01.2016;534342;570837;343148;108248;1556578;32043;26144;35781;93968
08.01.2016;532117;533371;336351;105402;1507250;32954;26491;35627;95072
09.01.2016;511449;498521;306685;92354;1409018;30352;23548;30968;84868
10.01.2016;488489;475488;300098;90759;1354842;29821;22225;29288;81334
11.01.2016;494320;503535;311743;101654;1411261;32144;24988;32666;89798
12.01.2016;497493;506270;303969;102911;1410651;31662;24869;32486;89017
13.01.2016;507107;540365;309821;103821;1461120;31109;24327;31582;87018
14.01.2016;526644;569023;308426;107618;1511719;31259;24329;31958;87546
15.01.2016;532789;578448;312098;107381;1530724;31015;24624;33268;88907
16.01.2016;507829;538233;303327;98034;1447424;27549;22846;30079;80474
17.01.2016;507294;527985;298157;96541;1429981;27084;21561;28811;77456
18.01.2016;532560;558201;326815;111246;1528828;29097;23898;31852;84847
19.01.2016;535284;553125;324529;110637;1523578;28863;24754;32479;86096
20.01.2016;539116;568783;328778;112217;1548906;29299;24670;32351;86320
21.01.2016;542203;573212;328734;114222;1558377;29862;25020;33582;88464
22.01.2016;530807;554212;333488;109920;1528447;30407;24715;33369;88491
23.01.2016;477770;486810;285551;97015;1347154;27490;22681;29914;80085
24.01.2016;454188;453564;262467;92176;1262400;26365;21865;28949;77179
25.01.2016;461638;483650;278387;103323;1327009;28488;23870;31897;84255
26.01.2016;446886;461675;273216;102269;1284057;28111;23697;31335;83143
27.01.2016;434821;458074;261632;100691;1255225;27529;23010;30784;81323
28.01.2016;441812;459411;264222;98876;1264324;27409;22391;30036;79836
