Consumption per country in MWh;;;;;;;;;
Data was last updated 12-11-2015;;;;;;;;;
;NO;SE;FI;DK;Nordic;EE;LV;LT;Baltic
14.04.2013;356392;356869;213107;79688;;21143;;23241;
15.04.2013;355471;388505;232964;91407;;23443;;26549;
16.04.2013;357024;379243;230473;91834;;23565;;25512;
17.04.2013;345600;370915;226816;89736;;23453;;25491;
18.04.2013;349973;377378;228487;92556;;23086;;25277;
19.04.2013;353477;377705;230324;89987;;22454;;25007;
20.04.2013;337088;342460;210934;76801;;20149;;22034;
21.04.2013;324812;339768;202210;74247;;19647;;21461;
22.04.2013;349849;384588;219696;89985;;22214;;24200;
23.04.2013;340271;375651;218668;94546;;22484;;24899;
24.04.2013;346799;378331;213838;93879;;22249;;23993;
25.04.2013;345980;376081;214300;91889;;22260;;24384;
26.04.2013;343076;370047;225451;79451;;22326;;24676;
27.04.2013;325474;337642;208812;75373;;20488;;22137;
28.04.2013;333619;333427;202322;73784;;19534;;21638;
29.04.2013;358098;379709;222023;93177;;21750;;24715;
30.04.2013;344642;375581;219267;93367;;21469;;24034;
01.05.2013;337236;336986;198469;84174;;19232;;21293;
02.05.2013;355958;366573;217417;88916;;21436;;24375;
03.05.2013;366826;362138;210355;85850;;21099;;24872;
04.05.2013;340807;312345;198515;75942;;18598;;21633;
05.05.2013;318993;306703;198794;74595;;18025;;20030;
06.05.2013;328736;345026;215336;88343;;20702;;24206;
07.05.2013;316580;343419;207409;89369;;20652;;24832;
08.05.2013;314393;343366;209102;92805;;20230;;25064;
09.05.2013;298846;311280;195126;77043;;20202;;25194;
10.05.2013;313419;313236;202192;80552;;20017;;25277;
11.05.2013;302612;291364;189357;76148;;17525;;22732;
12.05.2013;299193;289237;181552;75308;;16936;;21998;
13.05.2013;330030;333098;201449;91271;;19940;;25114;
14.05.2013;335928;343955;198849;90023;;19994;;25177;
15.05.2013;338653;334350;200852;90456;;20405;;25214;
16.05.2013;318207;328479;200196;88942;;19863;;25629;
17.05.2013;277191;313806;198996;86402;;19731;;26026;
18.05.2013;260267;274682;181014;72358;;17429;;23698;
19.05.2013;251283;271258;171729;70224;;16700;;22731;
20.05.2013;264236;319874;195658;73817;;19605;;26180;
21.05.2013;296036;318537;190654;89593;;19754;;26269;
22.05.2013;300588;317329;193486;94676;;19840;;25851;
23.05.2013;305898;327464;197101;89814;;19935;;25443;
24.05.2013;298378;319501;199737;85391;;19709;;25027;
25.05.2013;272929;273886;178841;74723;;16789;;22677;
26.05.2013;261981;273003;171501;74073;;16814;;21413;
27.05.2013;285526;326941;193963;87820;;19656;;24853;
28.05.2013;288475;328661;192438;91075;;19821;;25202;
29.05.2013;282167;331999;193945;91862;;19745;;25462;
30.05.2013;278853;321889;194760;89484;;19890;;25749;
31.05.2013;270971;309746;196934;86432;;19722;;25516;
01.06.2013;255069;278409;178510;72952;;16742;;22501;
02.06.2013;251278;277614;173291;73101;;16280;;21755;
03.06.2013;279983;310901;194625;86181;;19400;18937;25346;
04.06.2013;286342;322004;190980;87186;;19528;19044;25871;
05.06.2013;287545;324826;195218;77606;;19182;18797;26094;
06.06.2013;286927;289332;192840;87297;;19337;19061;26587;
07.06.2013;280742;294669;195751;84315;;19089;18613;25965;
08.06.2013;261219;271300;179076;71673;;16114;16144;22944;
09.06.2013;256322;273655;175490;70636;;15709;15506;22021;
10.06.2013;284764;319503;196666;87593;;18500;18180;25826;
11.06.2013;282330;322149;197896;90132;;18640;18425;25635;
12.06.2013;283275;326877;199403;89928;;18725;18243;25826;
13.06.2013;283573;329177;198838;91070;;18922;18223;25749;
14.06.2013;276015;311995;200529;85937;;18922;18314;25734;
15.06.2013;262338;279548;180378;72204;;15991;15947;22519;
16.06.2013;258761;286784;175820;72729;;15719;15354;21678;
17.06.2013;280829;317803;196157;85106;;18623;17868;24964;
18.06.2013;280094;324766;182214;86943;;19148;18222;25880;
19.06.2013;277029;323274;172029;90864;;19325;18632;26308;
20.06.2013;272894;312608;168036;89797;;19472;18709;26516;
21.06.2013;272870;257591;144886;89658;;19401;18874;26166;
22.06.2013;250231;253567;135244;72556;;16771;16723;23157;
23.06.2013;246387;263142;138620;71302;;14917;15126;21763;
24.06.2013;274200;313107;171016;86408;;15441;14496;22001;
25.06.2013;272992;315428;186943;86166;;18815;18436;26194;
26.06.2013;279756;324039;192863;90247;;18783;19210;26546;
27.06.2013;277956;325109;191092;90182;;18575;18917;25825;
28.06.2013;272284;308986;189841;84948;;18256;18342;25551;
29.06.2013;256720;274751;177825;73149;;15889;16019;22530;
30.06.2013;250896;275575;174138;73100;;15151;15441;21461;
01.07.2013;275607;319812;195194;86997;;17802;17802;24496;
02.07.2013;275917;314859;191870;85838;;18198;18045;25349;
03.07.2013;276077;311571;193689;89035;;18079;18215;25727;
04.07.2013;277978;317356;194534;89109;;18421;19098;26306;
05.07.2013;268194;296284;193902;82341;;18257;18995;26085;
06.07.2013;248866;265224;177776;68972;;15630;16572;22561;
07.07.2013;243386;266112;170360;68605;;15320;15719;22288;
08.07.2013;268373;296578;182415;84406;;17984;18530;25988;
09.07.2013;268022;303777;185067;85159;;18098;18471;26284;
10.07.2013;262376;297479;186720;86484;;18207;18816;26232;
11.07.2013;267991;298951;185517;85767;;18290;18731;26604;
12.07.2013;262957;288117;190522;81966;;18151;18122;26440;
13.07.2013;244732;264309;177758;69036;;16018;16203;23878;
14.07.2013;239686;260677;173327;68796;;15363;15450;22511;
15.07.2013;259203;279175;190004;79490;;17578;17780;25568;
16.07.2013;264496;281543;189618;80870;;17949;17942;25736;
17.07.2013;260147;279572;191101;80370;;17966;17980;26147;
18.07.2013;258950;274715;192527;79764;;18360;17987;25905;
19.07.2013;257963;268527;190802;78030;;17803;17459;25400;
20.07.2013;244954;251247;177922;68562;;15987;15230;22135;
21.07.2013;240611;244353;172232;67558;;15822;14851;21454;
22.07.2013;255241;267214;190164;79264;;17947;16998;24160;
23.07.2013;255119;271770;187405;78938;;18122;17686;25385;
24.07.2013;251049;278071;183256;78443;;18209;17827;25934;
25.07.2013;251367;274915;186125;81218;;18371;18106;26297;
26.07.2013;250831;269028;191951;79552;;18180;17968;26135;
27.07.2013;236740;246943;179093;71670;;16258;15871;23488;
28.07.2013;231687;246942;174210;70142;;15951;15447;22700;
29.07.2013;254869;273997;194544;80422;;18676;18512;26410;
30.07.2013;256946;275679;195234;83234;;19110;19144;26546;
31.07.2013;251505;268704;193571;81751;;19003;18877;26415;
01.08.2013;257954;272315;192513;83102;;18933;18438;25747;
02.08.2013;254975;271131;195409;79750;;18770;18057;25548;
03.08.2013;241699;249955;182108;71919;;16659;16142;23484;
04.08.2013;234849;250222;175080;69067;;16152;15912;23018;
05.08.2013;260398;295865;197107;86000;839376;18664;18575;26752;63991
06.08.2013;263774;300335;196204;89214;849536;18499;18695;27423;64617
07.08.2013;262360;309619;197961;86677;856625;18703;19101;27697;65501
08.08.2013;270956;308488;200148;91490;871091;19235;19598;27996;66829
09.08.2013;267929;301510;200365;83498;853314;18894;19024;27205;65123
10.08.2013;248723;266825;180653;73736;769947;16329;16397;24512;57238
11.08.2013;243631;270040;178227;70484;762396;15652;15360;22887;53899
12.08.2013;268937;312762;202329;85893;869930;18342;17632;25910;61884
13.08.2013;274726;318886;203319;86963;883907;18675;18191;26540;63406
14.08.2013;273753;320754;206961;88621;890093;18925;17822;25450;62197
15.08.2013;275143;317569;202568;87597;882892;19050;17983;22716;59749
16.08.2013;270683;315599;201486;86601;874379;18738;17916;24439;61093
17.08.2013;244431;276118;188513;73459;782539;16703;15904;22900;55507
18.08.2013;245133;272206;179842;72091;769269;16311;15441;22503;54255
19.08.2013;266930;319621;199652;86615;872823;18284;18578;26611;63473
20.08.2013;275027;324248;197203;87707;884199;16523;19125;27398;63046
21.08.2013;277844;327940;198206;89950;893951;18564;18628;27123;64315
22.08.2013;279577;326870;199226;90371;896058;18641;18809;26905;64355
23.08.2013;276132;319591;202027;85190;882944;18419;18380;26312;63111
24.08.2013;257025;282385;186466;72117;798002;16387;16101;23185;55673
25.08.2013;251448;279063;182288;71328;784138;15773;15588;22055;53416
26.08.2013;281155;326830;205602;88265;901863;18364;18205;25970;62539
27.08.2013;281478;327108;203229;89949;901776;18626;18475;26670;63771
28.08.2013;282236;325090;201018;88966;897325;18966;18416;26746;64128
29.08.2013;286155;326740;200561;89305;902766;19027;18505;26710;64242
30.08.2013;282355;322691;204370;87403;896821;18772;18292;26240;63304
31.08.2013;261944;281167;188418;73058;804600;16227;16103;23567;55897
01.09.2013;262462;286981;183454;72945;805853;15874;15473;22625;53972
02.09.2013;282215;329549;204855;91936;908567;18734;18172;26027;62933
03.09.2013;285513;337150;206559;89897;919133;18869;18097;26249;63215
04.09.2013;283313;334826;205183;91472;914804;18920;18604;26775;64299
05.09.2013;283996;330145;201727;90546;906423;18861;18527;26906;64294
06.09.2013;279223;317307;203860;87402;887794;18871;18329;26450;63650
07.09.2013;259706;281222;189358;74949;805240;16443;16159;23342;55944
08.09.2013;253609;277038;185022;74290;789971;15935;15954;23016;54905
09.09.2013;285810;327957;204589;92716;911080;18740;18543;26484;63767
10.09.2013;288858;334431;205614;89303;918176;19247;18789;27152;65188
11.09.2013;290103;334108;206941;90563;921718;19125;18929;27215;65269
12.09.2013;290574;329923;208518;92015;921041;19243;18795;27102;65140
13.09.2013;288455;322670;208960;87526;907617;18749;18521;27018;64288
14.09.2013;272874;279695;190418;75433;818431;16484;16264;24034;56782
15.09.2013;267466;278986;181508;75748;803714;16164;15974;23111;55249
16.09.2013;295645;335897;203912;91041;926503;19270;18728;26673;64671
17.09.2013;306333;337129;201233;92690;937405;19203;19118;27622;65943
18.09.2013;305887;343689;201335;92184;943108;19262;19247;28014;66523
19.09.2013;307967;349379;206521;91101;954976;19413;18967;27432;65812
20.09.2013;307938;335464;211171;88340;942924;19519;18837;26799;65155
21.09.2013;286798;296294;194336;75664;853112;17128;16389;23499;57016
22.09.2013;279859;297724;187932;77565;843087;16753;16090;22759;55602
23.09.2013;307054;345456;211280;90887;954684;19665;18941;25242;63848
24.09.2013;316266;353732;212655;90709;973373;20176;19364;26576;66116
25.09.2013;328349;367864;219362;91683;1007268;20772;19940;26815;67527
26.09.2013;335411;371082;226466;91120;1024083;21019;20237;26900;68156
27.09.2013;333546;362254;223617;87720;1007146;20542;20595;26827;67964
28.09.2013;310777;323949;206004;75874;916610;18301;17814;24064;60179
29.09.2013;305657;332274;200438;75511;913888;17876;17193;23351;58420
30.09.2013;330951;373937;222694;92091;1019692;21321;20634;27307;69262
01.10.2013;331986;378070;223732;92283;1026085;21828;21034;28226;71088
02.10.2013;336244;379597;223059;93386;1032294;21978;21178;28902;72058
03.10.2013;332685;371436;217892;94310;1016332;21646;20941;29222;71809
04.10.2013;330449;360341;220000;92970;1003762;21639;20327;28726;70692
05.10.2013;296960;322796;201789;78925;900483;18618;17614;24749;60981
06.10.2013;296634;307953;193298;75670;873567;18007;17317;24439;59763
07.10.2013;314951;346573;213784;91134;966446;20797;20475;28099;69371
08.10.2013;313217;348408;215397;93685;970721;20664;20613;28712;69989
09.10.2013;314499;351252;211862;96128;973744;21234;20728;28406;70368
10.10.2013;332105;355520;213812;94793;996238;20895;21047;28312;70254
11.10.2013;337012;359068;217943;94453;1008485;20716;20579;28293;69588
12.10.2013;313281;323903;205053;82372;924619;18341;17946;24972;61259
13.10.2013;305513;322380;196850;79164;903915;18058;17451;23808;59317
14.10.2013;335470;363851;221962;91025;1012313;21231;20554;28459;70244
15.10.2013;344428;364677;220389;93565;1023064;21597;20936;28729;71262
16.10.2013;351880;381496;226649;94454;1054483;21785;21106;28267;71158
17.10.2013;350946;384068;237561;97358;1069629;22788;21054;28614;72456
18.10.2013;363148;392467;239369;92288;1087281;22709;20764;27947;71420
19.10.2013;354879;359150;226332;81473;1021331;19688;18060;24263;62011
20.10.2013;353240;365463;219226;80733;1018668;19275;17842;24332;61449
21.10.2013;383884;408387;244517;97578;1134373;22643;20985;29035;72663
22.10.2013;371761;387024;247330;95021;1101140;22998;21443;29089;73530
23.10.2013;337930;371294;237409;100736;1047380;23067;21366;28040;72473
24.10.2013;335193;365619;227388;97513;1025717;22415;20913;28358;71686
25.10.2013;352736;369258;231760;94839;1048594;21832;20555;27821;70208
26.10.2013;325070;323982;217370;82510;948943;19955;18464;25266;63685
27.10.2013;323225;327340;215002;85746;951314;19683;18140;24913;62736
28.10.2013;342410;358863;223296;99381;1023957;21431;20322;27185;68938
29.10.2013;346615;362471;225248;99271;1033620;21544;19903;27297;68744
30.10.2013;357411;372022;231610;99160;1060216;22209;20589;27350;70148
31.10.2013;361522;380042;231557;101634;1074760;22148;20311;26946;69405
01.11.2013;354924;368695;223271;95816;1042710;22214;20394;22264;64872
02.11.2013;343485;344950;202986;83212;974649;19681;18518;23247;61446
03.11.2013;339667;350986;203986;83847;978501;19179;18119;23903;61201
04.11.2013;367069;395812;225251;98658;1086794;22677;20936;27518;71131
05.11.2013;374277;397764;226376;99664;1098091;22866;20852;28183;71901
06.11.2013;387142;408012;226307;100833;1122302;22797;21289;28728;72814
07.11.2013;394506;409218;231762;100530;1136016;23095;21554;28981;73630
08.11.2013;383581;392114;237204;95919;1108824;22748;20987;28365;72100
09.11.2013;363301;353607;221814;89749;1028480;20340;18984;25407;64731
10.11.2013;362041;369531;212276;85277;1029129;19604;18191;24313;62108
11.11.2013;412718;428831;239538;100031;1181127;23107;21794;28835;73736
12.11.2013;381542;413458;238586;105026;1138628;23453;21663;29137;74253
13.11.2013;390593;411763;232148;100748;1135261;23233;21741;29583;74557
14.11.2013;391311;421516;236573;103033;1152648;23699;21590;29722;75011
15.11.2013;387578;401977;240428;98966;1128962;23518;21899;29560;74977
16.11.2013;343418;352750;215783;86360;998318;20748;18835;25552;65135
17.11.2013;350864;357429;204547;82783;995622;20043;17832;24394;62269
18.11.2013;393071;418465;234382;102630;1148556;23215;18609;29020;70844
19.11.2013;402076;411235;235077;102691;1151087;23704;21796;29565;75065
20.11.2013;429279;444310;235960;103463;1213032;23580;22443;29354;75377
21.11.2013;443313;448486;245697;104685;1242180;23755;22231;29454;75440
22.11.2013;445464;440230;244283;102282;1232271;23207;21783;29334;74324
23.11.2013;413345;401312;229088;87874;1131626;20988;19183;26109;66280
24.11.2013;407196;403360;225371;86581;1122513;20784;18559;24889;64232
25.11.2013;439465;458336;251372;105301;1254475;24314;21897;29135;75346
26.11.2013;436946;466906;252456;107236;1263557;25040;22518;29763;77321
27.11.2013;397126;425127;240914;104482;1167651;24869;22818;30047;77734
28.11.2013;400993;422934;240737;104128;1168800;24304;22122;28993;75419
29.11.2013;412346;440764;257299;103012;1213429;24788;22250;29620;76658
30.11.2013;400675;408887;243540;87985;1141090;22920;20071;26795;69786
01.12.2013;382987;389066;232325;87005;1091391;21839;19281;24832;65952
02.12.2013;421646;454783;256537;104211;1237187;24826;22363;29306;76495
03.12.2013;401555;430160;247133;105252;1184106;25075;22712;30095;77882
04.12.2013;419681;444344;254536;105407;;25347;22900;30323;
05.12.2013;430311;455628;257274;111984;;25382;22568;29921;
06.12.2013;446051;466840;236123;109736;;25016;23214;29612;
07.12.2013;439606;453508;239721;95939;;23011;20935;26618;
08.12.2013;435192;464792;245446;93682;;22784;20239;25827;
09.12.2013;454911;496809;273470;106716;1331908;26078;23771;30686;80535
10.12.2013;424701;460503;274693;105147;;26602;24423;31724;
11.12.2013;418759;432191;252644;105319;;25746;23973;31297;
12.12.2013;413746;430017;248653;104458;;25056;23550;30906;
13.12.2013;427541;437418;247532;102713;;24203;23098;30060;
14.12.2013;406396;410469;250375;89301;;23055;22111;27471;
15.12.2013;385140;397657;239171;89071;;22640;20648;26440;
16.12.2013;397706;423813;245924;105289;1172740;24897;22612;30097;77606
17.12.2013;412260;425801;245802;104956;;24621;22926;30465;
18.12.2013;424558;448925;253073;106455;;24638;22664;30291;
19.12.2013;411500;441532;254609;106034;;24761;22699;29934;
20.12.2013;412903;431437;247825;101191;;24095;22180;29738;
21.12.2013;378697;390135;230460;94771;;21834;20009;26356;
22.12.2013;373495;385688;216076;92105;;21319;19120;25318;
23.12.2013;399748;411045;218797;97187;1126786;21764;19784;27229;68777
24.12.2013;374047;365851;204288;90155;;20407;18743;24102;
25.12.2013;359002;348819;192539;81401;;19188;17127;21390;
26.12.2013;365303;371134;193825;83236;;19948;18321;22717;
27.12.2013;383710;389841;211410;93886;;21581;20386;25872;
28.12.2013;364209;370399;207626;87207;;20608;20000;24710;
29.12.2013;363906;372913;204844;85415;;20634;19099;24665;
30.12.2013;398878;399115;232592;92965;1123558;21885;19446;26887;68218
31.12.2013;374843;392411;238482;87125;;21148;18971;26531;
