Consumption per country in MWh;;;;;;;;;
Data was last updated 12-11-2015;;;;;;;;;
;NO;SE;FI;DK;Nordic;EE;LV;LT;Baltic
01.01.2013;389179;381608;239611;85176;;21571;;22593;
02.01.2013;432566;429290;260726;100791;;24961;;28088;
03.01.2013;428884;444913;262334;105601;;26167;;29061;
04.01.2013;418382;434016;266540;103945;;26150;;28845;
05.01.2013;400043;423684;258872;90363;;24025;;26428;
06.01.2013;393507;418669;257826;89470;;23966;;25853;
07.01.2013;428604;474357;283489;105895;;27228;;30425;
08.01.2013;430687;465151;274124;107135;;27881;;31139;
09.01.2013;440532;469430;269161;107439;;28053;;30821;
10.01.2013;452936;493415;273455;111300;;28150;;31166;
11.01.2013;470552;502319;286615;109155;;28733;;30971;
12.01.2013;465086;480424;277190;97694;;26951;;28000;
13.01.2013;468825;479742;265236;95174;;26700;;28558;
14.01.2013;508369;533912;277033;113128;;28555;;33077;
15.01.2013;512914;527786;282566;114501;;29221;;32677;
16.01.2013;516077;537610;289170;118036;;29461;;32039;
17.01.2013;507832;531689;299227;117115;;29530;;32159;
18.01.2013;503428;537124;313362;114390;;30169;;32173;
19.01.2013;486010;517577;286296;101887;;28606;;29400;
20.01.2013;466388;490302;264378;100386;;27578;;28596;
21.01.2013;503428;537190;284667;114966;;29812;;33430;
22.01.2013;517867;556799;277890;116555;;29863;;33810;
23.01.2013;526078;568352;281634;116223;;29353;;33315;
24.01.2013;517967;569377;290327;115727;;29307;;33246;
25.01.2013;512027;565118;290734;114603;;29540;;33057;
26.01.2013;468173;485394;262460;103058;;26546;;29399;
27.01.2013;442469;475651;252855;99180;;26285;;28292;
28.01.2013;450756;483502;278578;109106;;29278;;32593;
29.01.2013;442375;474387;262941;110610;;28572;;32445;
30.01.2013;431588;466645;259574;110378;;28326;;31341;
31.01.2013;428381;461879;259318;111262;;27127;;30133;
01.02.2013;455618;478007;265880;107309;;26740;;29698;
02.02.2013;435773;451605;255100;93695;;24711;;27100;
03.02.2013;429075;454673;247298;95491;;23860;;25978;
04.02.2013;455746;480605;268497;109724;;26889;;29795;
05.02.2013;452771;480029;270241;109838;;27107;;29593;
06.02.2013;451743;484048;277867;110901;;26385;;29597;
07.02.2013;463794;494145;279256;111747;;26282;;30451;
08.02.2013;476490;495532;282853;108889;;26506;;29726;
09.02.2013;462310;472751;260608;96982;;23657;;26469;
10.02.2013;453470;467549;245674;95607;;22923;;25604;
11.02.2013;485023;509358;263733;110260;;25982;;29441;
12.02.2013;482386;512180;265952;111927;;26037;;29943;
13.02.2013;472849;508942;260859;111427;;26095;;29533;
14.02.2013;468769;491175;259480;110160;;25967;;29722;
15.02.2013;454981;473038;263280;106488;;26113;;29276;
16.02.2013;423346;430750;244041;94122;;24178;;25958;
17.02.2013;410102;432028;238125;91795;;23817;;25517;
18.02.2013;432616;478233;258855;107316;;26760;;29813;
19.02.2013;441506;488326;261239;109301;;27523;;30061;
20.02.2013;460412;501752;267302;110848;;27932;;30048;
21.02.2013;474210;508056;274405;110511;;27969;;30516;
22.02.2013;462443;497726;270178;107015;;27735;;30109;
23.02.2013;415105;441926;249512;97492;;24848;;26112;
24.02.2013;397773;428854;237441;96093;;24343;;24995;
25.02.2013;430022;474184;256474;107498;;27321;;28926;
26.02.2013;440050;477925;253019;106103;;27529;;29166;
27.02.2013;432431;457937;249303;107679;;26675;;28778;
28.02.2013;426099;464119;247659;106153;;26124;;28228;
01.03.2013;416611;450943;257507;99540;;26265;;28088;
02.03.2013;390526;422136;265268;91523;;24310;;25272;
03.03.2013;383705;413779;257248;85156;;24348;;24462;
04.03.2013;414885;467118;288022;99698;;27834;;28633;
05.03.2013;419739;450716;274100;101033;;27233;;28288;
06.03.2013;413047;448705;260003;102305;;26505;;27983;
07.03.2013;422362;461171;268589;105894;;26971;;28278;
08.03.2013;434444;470472;279568;106647;;27162;;28171;
09.03.2013;422026;442079;266091;94567;;24869;;25398;
10.03.2013;428189;458855;263875;97964;;24821;;24829;
11.03.2013;459287;508741;280248;109258;;27873;;25386;
12.03.2013;441230;496675;278370;106758;;27180;;30263;
13.03.2013;453137;505626;274212;108529;;27804;;31385;
14.03.2013;463107;509582;284294;108106;;28142;;31157;
15.03.2013;459436;505850;282258;103323;;28134;;30044;
16.03.2013;421893;447884;262260;96195;;24827;;26894;
17.03.2013;404749;425611;247804;94060;;24348;;25049;
18.03.2013;433952;486163;272554;114643;;27698;;29051;
19.03.2013;456842;507742;269187;112521;;27864;;29217;
20.03.2013;462428;508821;265720;110911;;27892;;29680;
21.03.2013;451137;495718;269848;109261;;27970;;29597;
22.03.2013;451141;489335;273073;107730;;28082;;29330;
23.03.2013;428279;450588;247754;96813;;25149;;27236;
24.03.2013;403605;432923;233428;91159;;24117;;25750;
25.03.2013;415533;468288;253408;105324;;26117;;29236;
26.03.2013;411385;458527;255153;104581;;26282;;29073;
27.03.2013;406955;459879;256294;103461;;26295;;29159;
28.03.2013;390462;448172;252891;89416;;25494;;28831;
29.03.2013;385604;412285;235788;89218;;23331;;28124;
30.03.2013;377746;394831;234675;87150;;23048;;26559;
31.03.2013;357263;373374;208592;77958;929397;21538;;21585;
01.04.2013;377785;399286;225034;82034;;26128;;23236;
02.04.2013;394426;434138;246347;94814;;25437;;28040;
03.04.2013;392241;429764;246693;96814;;25281;;28105;
04.04.2013;389716;429844;244648;98190;;25201;;28520;
05.04.2013;382513;414938;244962;94217;;24954;;28609;
06.04.2013;370659;384213;227220;82297;;22249;;25163;
07.04.2013;363821;383322;226312;83578;;21943;;23795;
08.04.2013;392547;431622;246397;94402;;24609;;27300;
09.04.2013;392822;431182;249352;98892;;24920;;27524;
10.04.2013;391323;424800;247304;101120;;24831;;27563;
11.04.2013;396862;427028;244342;101689;;24635;;27659;
12.04.2013;385619;421720;242590;98115;;24069;;26514;
13.04.2013;350580;382981;226591;83895;;21650;;23914;
