Consumption per country in MWh;;;;;;;;;
Data was last updated 12-01-2016;;;;;;;;;
;NO;SE;FI;DK;Nordic;EE;LV;LT;Baltic
01.01.2014;366427;384749;222609;83837;1057638;19487;17885;22959;60331
02.01.2014;399918;411970;246089;99705;1157684;23373;21578;27295;72246
03.01.2014;394838;412474;252240;98515;1158079;24053;22123;27322;73498
04.01.2014;373405;390819;239997;89931;1094167;21959;20152;24993;67104
05.01.2014;369245;388306;229357;88121;1075031;21025;19587;24387;64999
06.01.2014;403916;403736;235181;106722;1149558;24258;22621;28333;75212
07.01.2014;390178;424245;249519;106674;1170623;24441;22707;28536;75684
08.01.2014;392452;429362;245834;105888;1173546;24196;22177;28314;74687
09.01.2014;413342;443218;247173;109110;1212848;24021;22371;28118;74510
10.01.2014;429543;463875;261582;106588;1261598;24591;22169;27639;74399
11.01.2014;422670;431245;258779;93996;1206697;22821;20097;24713;67631
12.01.2014;442077;456611;260660;92250;1251610;22514;19543;24347;66404
13.01.2014;502913;538963;290887;110391;1443171;26303;23019;29001;78323
14.01.2014;497240;525510;305437;107974;1436165;27373;23505;29232;80110
15.01.2014;488335;518387;307855;107664;1422250;27884;23801;29588;81273
16.01.2014;484556;513415;311563;112181;1421724;28403;24407;30309;83119
17.01.2014;486450;523841;317499;108661;1436468;28231;24611;30974;83816
18.01.2014;466279;481553;303536;98479;1349863;26120;21876;27850;75846
19.01.2014;453734;474909;300360;100607;1329624;25580;21783;26500;73863
20.01.2014;485931;521899;320256;116427;1444518;28759;25166;31119;85044
21.01.2014;489459;520674;311348;114541;1436030;29621;25743;31868;87232
22.01.2014;497550;522528;311512;115552;1447152;30404;26085;32940;89429
23.01.2014;495954;533996;318617;118856;1467434;31069;26246;33439;90754
24.01.2014;489866;519498;316081;115301;1440741;31496;26395;32900;90791
25.01.2014;463497;482263;279513;103964;1329238;28282;24025;29768;82075
26.01.2014;453660;475926;262966;105188;1297755;27068;23458;28383;78909
27.01.2014;486716;523259;292747;117910;1420640;30019;26247;31947;88213
28.01.2014;472297;512713;300011;117243;1402272;30589;26293;32041;88923
29.01.2014;471806;523438;302929;119748;1417924;31266;26551;32444;90261
30.01.2014;488194;534829;307966;119014;1450015;31867;26805;33028;91700
31.01.2014;477196;529315;314443;113942;1434905;31434;26660;33280;91374
01.02.2014;449662;461742;285103;100576;1297082;27543;23464;29132;80139
02.02.2014;415070;430691;264396;92290;1202453;25150;22420;28153;75723
03.02.2014;428934;461330;275032;108182;1273486;27771;25023;32082;84876
04.02.2014;433068;469669;269455;110349;1282549;27872;24370;30863;83105
05.02.2014;431760;470851;272563;108814;1283993;28023;24359;30421;82803
06.02.2014;436406;469745;278352;110323;1294829;28253;24082;30306;82641
07.02.2014;427900;456863;279692;109105;1273572;26968;23553;29547;80068
08.02.2014;400446;414958;255354;95483;1166248;23656;20813;26036;70505
09.02.2014;390891;411411;243198;93525;1139031;22633;20259;25161;68053
10.02.2014;415263;455591;262034;105170;1238068;25578;23489;30091;79158
11.02.2014;418027;458178;259647;108954;1244815;25921;23767;29762;79450
12.02.2014;421715;465822;261301;108970;1257811;25783;23453;28966;78202
13.02.2014;427237;464971;264434;108320;1264967;25744;23400;29431;78575
14.02.2014;418112;448067;268344;102628;1237158;25543;23184;29210;77937
15.02.2014;399187;415821;252835;96203;1164059;22528;20585;25291;68404
16.02.2014;384399;408057;244843;93842;1131151;22448;19857;24031;66336
17.02.2014;415790;439097;262780;104205;1221888;25056;22498;27715;75269
18.02.2014;434008;453639;263122;105786;1256562;24686;22415;27985;75086
19.02.2014;442808;466660;264869;106154;1280494;25343;22788;29526;77657
20.02.2014;451585;463655;271407;105968;1292614;25772;22528;29430;77730
21.02.2014;435610;453456;273696;102094;1264861;25574;22214;28332;76120
22.02.2014;398612;401701;254556;93135;1148014;22314;19521;25309;67144
