Consumption per country in MWh;;;;;;;;;
Data was last updated 12-01-2016;;;;;;;;;
;NO;SE;FI;DK;Nordic;EE;LV;LT;Baltic
23.02.2014;384988;386999;239203;90351;1101553;21375;18739;24335;64449
24.02.2014;398761;422096;251764;101860;1174492;21142;21358;28289;70789
25.02.2014;395311;436348;250381;101201;1183253;24183;21779;27959;73921
26.02.2014;402901;447317;256786;101914;1208927;25330;22444;29006;76780
27.02.2014;404951;446758;257502;103742;1212961;25063;22311;28985;76359
28.02.2014;406188;430019;257200;100050;1193460;24860;21909;28117;74886
01.03.2014;389838;401619;237676;88903;1118036;22391;19569;25128;67088
02.03.2014;388873;407017;235961;88111;1119971;21643;18954;24138;64735
03.03.2014;410206;444943;256490;103045;1214698;24567;21704;27817;74088
04.03.2014;405882;439360;255104;102740;1203102;24317;21767;28136;74220
05.03.2014;407085;447597;252983;104229;1211908;23925;21893;28409;74227
06.03.2014;399575;433557;253497;103297;1189927;24324;22177;28604;75105
07.03.2014;395345;415595;252948;101774;1165672;23973;21592;27809;73374
08.03.2014;376527;376292;235088;85646;1073556;21445;19075;23753;64273
09.03.2014;360607;365411;226513;83528;1036072;20392;18411;22853;61656
10.03.2014;387633;409950;239876;96287;1133763;22965;20766;24623;68354
11.03.2014;392387;416420;239226;97812;1145861;23260;21249;22559;67068
12.03.2014;385124;411412;238134;98392;1133073;23201;21121;25914;70236
13.03.2014;389715;401839;235318;98407;1125287;22960;20888;25691;69539
14.03.2014;394291;397350;240457;96986;1129086;22501;20278;25636;68415
15.03.2014;376026;383855;237254;89935;1087078;21546;18742;23338;63626
16.03.2014;375912;381859;235260;87365;1080405;21257;18240;22637;62134
17.03.2014;400695;425936;264195;100952;1191783;24099;21341;27001;72441
18.03.2014;408293;430854;265350;100787;1205301;24093;21529;27111;72733
19.03.2014;416226;445044;266288;101715;1229277;24474;21819;26990;73283
20.03.2014;405955;428130;267964;99841;1201899;24319;21218;26551;72088
21.03.2014;386765;392354;253713;96521;1129369;23317;20624;25260;69201
22.03.2014;375099;360471;228498;83670;1047745;20559;18232;22808;61599
23.03.2014;367938;363771;224785;82206;1038701;20376;18104;22275;60755
24.03.2014;391579;413079;234704;96990;1136359;23185;21251;26346;70782
25.03.2014;386337;415927;235371;98477;1136132;23750;21548;26390;71688
26.03.2014;396714;431806;236297;101169;1165995;23074;20857;26700;70631
27.03.2014;389129;420067;237083;100640;1146935;23026;20506;25607;69139
28.03.2014;363674;389045;239878;96407;1089018;22574;20065;25033;67672
29.03.2014;340592;348076;222275;82498;993445;20398;17981;22574;60953
30.03.2014;321453;332100;208105;76694;938368;18981;16827;21161;56969
31.03.2014;365261;401511;238829;95555;1101164;22865;20481;26325;69671
01.04.2014;370354;408721;241327;98423;1118837;23631;20592;27025;71248
02.04.2014;373772;405219;239417;98800;1117219;23551;20769;27697;72017
03.04.2014;370593;402780;235651;97647;1106681;23825;20604;27809;72238
04.04.2014;367412;396080;241200;96654;1101347;23122;20511;26466;70099
05.04.2014;359660;363951;223863;86723;1034208;20510;18252;23136;61898
06.04.2014;345780;346871;216175;83274;992111;20372;17639;22697;60708
07.04.2014;350049;392338;235618;96125;1074141;23281;20840;26751;70872
08.04.2014;353183;396266;230838;97441;1077747;22182;20834;27108;70124
09.04.2014;368900;411922;230517;97819;1109174;22439;20943;26982;70364
10.04.2014;376233;414770;232315;96953;1120282;22810;19797;27502;70109
11.04.2014;361898;386639;238851;93529;1080928;22662;19453;26356;68471
12.04.2014;350611;345939;218087;82027;996672;19609;17466;23746;60821
13.04.2014;335659;343632;212096;81346;972739;19414;16624;22733;58771
14.04.2014;358299;379797;230259;94933;1063290;21857;19608;26553;68018
15.04.2014;358742;382295;232603;92322;1065969;22035;19982;26621;68638
16.04.2014;349392;385322;235572;88136;1058432;22068;19857;26639;68564
17.04.2014;335431;369630;233903;78269;1017237;21786;19543;26387;67716
18.04.2014;321718;334673;213177;77019;946593;18439;17032;25695;61166
19.04.2014;312451;313467;210138;74318;910385;17914;16633;23254;57801
20.04.2014;297582;295651;199748;70199;863189;17276;15388;18800;51464
21.04.2014;298576;304114;199118;73283;875165;20219;15974;19777;55970
22.04.2014;317429;340931;215665;87714;961741;20449;17463;24723;62635
23.04.2014;316793;363109;220900;91625;992435;20347;18610;24909;63866
24.04.2014;327210;371681;221587;93805;1014288;20753;18768;24797;64318
25.04.2014;327866;354070;223985;87804;993733;21028;18583;24951;64562
26.04.2014;299753;310856;204979;75543;891139;19228;15959;22643;57830
27.04.2014;286214;301939;198989;73963;861113;18475;15256;21648;55379
28.04.2014;313495;343328;219202;88220;964253;20488;18029;25070;63587
29.04.2014;322653;349070;218854;88656;976053;20298;18430;25400;64128
30.04.2014;333832;355896;223651;88390;1001773;20148;18171;23855;62174
01.05.2014;320652;320653;209649;83573;934534;18561;16349;21598;56508
02.05.2014;330314;345769;222696;84949;983734;19384;16514;23557;59455
03.05.2014;318701;320251;214370;75826;929153;18222;15703;21683;55608
04.05.2014;312879;319521;209423;75059;916883;18403;15506;20587;54496
05.05.2014;340265;367090;226074;91015;1024453;21826;16589;24834;63249
06.05.2014;340055;371632;220896;91835;1024421;21876;18912;25562;66350
07.05.2014;345265;377052;221038;92689;1036054;21616;19997;26289;67902
08.05.2014;348649;370675;223089;92751;1035171;21319;19368;26191;66878
09.05.2014;338482;355896;225160;89332;1008882;20961;19061;25631;65653
10.05.2014;305134;311957;203121;78655;898871;18233;17534;22707;58474
11.05.2014;290194;308838;192470;77950;870475;17611;15824;21770;55205
12.05.2014;321520;345759;213332;92103;972725;19886;18687;25936;64509
13.05.2014;326398;343714;211742;92922;974786;21040;18828;25750;65618
14.05.2014;327869;350709;212794;93959;985332;20392;18713;25608;64713
15.05.2014;329225;346000;217471;90926;984285;20188;18512;25073;63773
16.05.2014;310852;321248;216775;76505;925389;20265;17934;25135;63334
17.05.2014;270742;281104;193155;73887;818892;17441;15623;22035;55099
18.05.2014;270820;280733;180018;74417;805988;16799;15219;21909;53927
19.05.2014;289712;331187;198862;89476;909246;19633;18593;25303;63529
20.05.2014;290649;324870;195014;89139;899684;19617;19121;26188;64926
21.05.2014;287503;322124;197237;90156;897031;19675;18987;26137;64799
22.05.2014;287714;322343;199384;90824;900271;19703;19012;25807;64522
23.05.2014;284930;318296;197001;88638;888864;19442;18889;25212;63543
24.05.2014;266867;277910;179960;74808;799548;16839;16043;22877;55759
25.05.2014;265915;274254;175304;73971;789441;16355;15939;21726;54020
26.05.2014;291923;321513;196947;89055;899452;18880;18257;24752;61889
27.05.2014;285470;326180;200673;91019;903347;19597;17970;24994;62561
28.05.2014;282126;341213;207641;91473;922456;20123;17740;24873;62736
29.05.2014;266131;301777;193423;76465;837806;20507;18191;24999;63697
30.05.2014;276108;305970;200886;80455;863425;19917;17689;24548;62154
31.05.2014;263713;282630;186152;73075;805574;16999;15386;21528;53913
01.06.2014;259650;283517;180981;74558;798717;16449;14951;20578;51978
02.06.2014;281176;328343;201866;90441;901837;19492;17865;24560;61917
03.06.2014;274649;335153;204507;92094;906406;19701;18417;24902;63020
04.06.2014;273479;333239;202400;91693;900809;19887;18352;25035;63274
05.06.2014;275737;319648;204133;81683;881204;19802;18497;24990;63289
06.06.2014;273320;276087;203487;84768;835629;19739;18572;24952;63263
07.06.2014;254390;264234;183515;73364;775522;16786;15669;21985;54440
08.06.2014;244707;265342;177924;70580;758555;16016;15029;21277;52322
09.06.2014;252468;314014;199037;73714;839247;18821;17893;24868;61582
10.06.2014;277870;318469;197544;90460;884358;19106;18045;25238;62389
11.06.2014;279871;322851;195886;92816;891999;18598;18314;25421;62333
12.06.2014;281497;318915;197268;91251;888940;19295;18432;25876;63603
13.06.2014;283514;318964;197131;90413;890032;19079;18037;25343;62459
14.06.2014;264764;281285;181315;76360;803736;16644;15617;22496;54757
15.06.2014;261823;276385;175796;75182;789194;15970;14749;21687;52406
16.06.2014;289385;327077;191177;91350;898993;18796;17394;24808;60998
17.06.2014;291578;332804;194666;92169;911226;19358;17556;24925;61839
18.06.2014;289352;326599;184961;93337;894253;19773;18066;24968;62807
19.06.2014;285255;315798;176769;93984;871820;19807;17841;25288;62936
20.06.2014;286312;271420;160148;90591;808479;19122;17872;24751;61745
21.06.2014;272776;264922;156412;75971;770085;16522;15886;22316;54724
22.06.2014;267008;270945;160941;76953;775850;16205;15138;21092;52435
23.06.2014;290771;324872;185879;90332;891414;15313;14388;22703;52404
24.06.2014;287880;322931;198703;91205;900729;15177;13786;20893;49856
25.06.2014;288688;324928;202879;91263;907773;18616;17145;24729;60490
26.06.2014;287870;328874;202202;91433;910386;19329;17807;25568;62704
27.06.2014;284121;316099;202326;89091;891647;19163;17936;25432;62531
28.06.2014;263949;286821;188234;75590;814600;16691;15908;22555;55154
29.06.2014;257740;282649;182570;73564;796531;16715;15564;22068;54347
30.06.2014;283032;322961;200533;88392;894928;18934;18179;25942;63055
01.07.2014;278655;319643;203872;89942;892117;19665;18376;26962;65003
02.07.2014;275364;311807;203179;90375;880743;19123;17985;28105;65213
03.07.2014;273663;310497;201103;91766;877035;18392;17925;25810;62127
04.07.2014;270592;302771;200418;87144;860938;18612;17866;25773;62251
05.07.2014;250442;262278;182713;75565;771008;16340;16050;22785;55175
06.07.2014;243547;257578;178110;73730;752965;15984;15946;21920;53850
07.07.2014;265606;297067;195678;88253;846610;18789;18499;26341;63629
08.07.2014;263829;297692;194952;88835;845327;18688;19075;26971;64734
09.07.2014;258749;295144;192705;90129;836735;18530;18875;26729;64134
10.07.2014;259388;289523;189886;89641;828451;18216;18621;26516;63353
11.07.2014;255252;278276;190386;85528;809447;17864;17893;25405;61162
12.07.2014;240679;255697;177758;73355;748273;15703;15637;22923;54263
13.07.2014;234288;260286;177282;72000;743862;15730;15609;22383;53722
14.07.2014;255226;280497;193236;83239;812203;18020;17938;25601;61559
15.07.2014;253623;273111;193329;81065;801140;18289;18168;26382;62839
16.07.2014;254124;271990;191700;79100;796918;18367;18202;26412;62981
17.07.2014;257741;273778;191276;79481;802281;18345;18294;26409;63048
18.07.2014;256706;271697;192720;78156;799290;17888;18308;25940;62136
19.07.2014;238777;246521;180915;71282;737509;16064;16108;23247;55419
20.07.2014;231730;244418;177049;71161;724366;15425;15565;21544;52534
21.07.2014;249790;269079;194035;80576;793485;17819;18168;25689;61676
22.07.2014;252101;271637;191990;82010;797749;17988;18300;26169;62457
23.07.2014;252057;274086;194923;81601;802683;18376;18445;25982;62803
24.07.2014;250358;274193;195688;81963;802230;18462;18399;26488;63349
25.07.2014;252885;271593;193207;81522;799210;18287;18536;26787;63610
26.07.2014;241516;255577;179003;74257;750361;16200;16451;23930;56581
27.07.2014;235677;250700;172380;73165;731931;15864;15975;23183;55022
28.07.2014;255350;280788;189553;84549;810250;18558;18761;27172;64491
29.07.2014;256362;278041;190204;85141;809760;18937;19119;27775;65831
30.07.2014;257348;280303;191290;85349;814305;19156;19244;27411;65811
31.07.2014;254840;275260;190128;85406;805634;18869;18955;27780;65604
01.08.2014;255635;273772;191960;84056;805436;18637;18336;27274;64247
02.08.2014;242076;252425;180020;75352;749884;16505;16320;24203;57028
03.08.2014;237699;254697;174384;75477;742261;16322;16557;23326;56205
04.08.2014;259090;296841;197508;88274;841718;19261;19411;27139;65811
05.08.2014;259910;303811;198059;90334;852127;19400;19460;27242;66102
06.08.2014;264727;304192;197123;89117;855176;19577;19526;27284;66387
07.08.2014;265539;298906;199383;89908;853750;19550;19432;27754;66736
08.08.2014;262240;297297;201096;87158;847806;19039;19013;27696;65748
09.08.2014;246365;261038;181424;77719;766558;16692;16484;24532;57708
10.08.2014;241174;262819;176398;74818;755213;15956;15991;23635;55582
11.08.2014;268321;316486;199886;92836;877540;19549;19001;27353;65903
12.08.2014;271393;310009;199249;91206;871864;19403;18812;27194;65409
13.08.2014;274399;311728;200968;90490;877601;18899;18395;26809;64103
14.08.2014;277234;317674;201528;89578;886027;19249;18599;26422;64270
15.08.2014;274197;307071;202191;85742;869209;18835;18230;22918;59983
16.08.2014;259070;269601;186928;75592;791210;16536;16016;22607;55159
17.08.2014;259159;279797;181503;78088;798556;17106;15543;22139;54788
18.08.2014;281131;313093;203630;91971;889831;18782;18001;25417;62200
19.08.2014;281485;310894;200586;92208;885180;18388;18239;25634;62261
20.08.2014;282215;312379;204857;91715;891165;16957;18340;25765;61062
21.08.2014;283962;318339;204489;90506;897305;18877;18331;26623;63831
22.08.2014;282905;308675;205787;88689;886057;19016;18323;25738;63077
23.08.2014;266733;278964;193195;75451;814350;16935;16342;23091;56368
24.08.2014;263008;280185;189226;76922;809349;16578;15976;22597;55151
25.08.2014;285556;332601;208929;89352;916450;19776;18359;25316;63451
26.08.2014;285893;325967;204660;90533;907065;19731;18339;25882;63952
27.08.2014;286716;319462;203857;90623;900667;19760;18702;25946;64408
28.08.2014;283704;328141;204046;90962;906859;19614;18727;25977;64318
29.08.2014;282351;316297;207453;88704;894814;19606;18445;25870;63921
30.08.2014;266128;283656;193317;77174;820286;17049;16104;23461;56614
31.08.2014;261581;280357;189894;76412;808259;16519;15685;22570;54774
01.09.2014;286739;328980;211183;88012;914923;19023;17806;25952;62781
02.09.2014;286162;328134;212139;90472;916917;19799;18552;27197;65548
03.09.2014;284230;326764;209294;91228;911518;19522;18737;27343;65602
04.09.2014;285226;326613;206311;92144;910296;19925;18956;27057;65938
05.09.2014;283935;320417;206727;76158;887238;19485;19012;26744;65241
06.09.2014;266377;280810;191574;75933;814700;17113;16801;24039;57953
07.09.2014;258866;275945;186201;76195;797222;16691;16278;23454;56423
08.09.2014;286773;325949;205536;90788;909060;19194;18618;27013;64825
09.09.2014;289815;322403;206211;93024;911462;19577;19027;27850;66454
10.09.2014;285137;324391;201790;90980;902305;19909;18976;27453;66338
11.09.2014;288791;328164;204233;91731;912933;19885;18995;27802;66682
12.09.2014;288381;319243;211520;88835;907991;19786;19113;27276;66175
13.09.2014;269597;282268;191993;77502;821355;17324;16731;24260;58315
14.09.2014;265419;280468;188116;76566;810575;16850;15939;23340;56129
15.09.2014;290936;327773;211510;91723;921958;20115;18554;26455;65124
16.09.2014;293582;327869;211604;91394;924456;20344;19033;26992;66369
17.09.2014;296591;333205;210954;91605;932366;20452;19001;27009;66462
18.09.2014;301117;335004;212276;91334;939734;20403;18791;26929;66123
19.09.2014;300299;329282;213882;87074;930550;20000;18456;26159;64615
20.09.2014;283084;291273;196246;76219;846833;17588;16310;23134;57032
21.09.2014;277282;290068;188842;76382;832584;16999;15879;22991;55869
22.09.2014;313808;350943;213786;92237;970777;20551;19227;28031;67809
23.09.2014;330140;367358;222262;93018;1012789;21375;19265;27816;68456
24.09.2014;329068;364434;220552;94415;1008477;21617;19296;27875;68788
25.09.2014;327129;353993;221458;94057;996649;21197;19608;28163;68968
26.09.2014;316088;343794;216287;90889;967059;21119;19327;28133;68579
27.09.2014;297332;302146;194426;78001;871917;18059;16860;24209;59128
28.09.2014;285406;299005;190407;76872;851699;17500;16578;23800;57878
29.09.2014;313258;337970;211370;91326;953926;20579;19403;27389;67371
30.09.2014;320530;350418;214172;94566;979691;20939;19554;27476;67969
01.10.2014;324203;358336;220515;95265;998332;21152;19849;27557;68558
02.10.2014;318366;355296;221799;93916;989384;21586;20091;27276;68953
03.10.2014;323016;334290;221498;90727;969537;21467;19776;27159;68402
04.10.2014;294384;301174;203299;78549;877419;18551;17128;24259;59938
05.10.2014;290152;299071;200617;76851;866699;18207;16477;23006;57690
06.10.2014;316688;353289;226640;93851;990473;21963;19913;27144;69020
07.10.2014;334815;362711;224356;98872;1020765;22151;20133;26804;69088
08.10.2014;333150;353278;223374;94493;1004303;22877;20658;27749;71284
09.10.2014;333875;351132;222358;94766;1002140;22539;20814;27912;71265
10.10.2014;324062;343676;225660;91220;984628;22079;20016;27367;69462
11.10.2014;319728;316983;208855;77630;923203;18849;17480;24239;60568
12.10.2014;315404;314600;205292;76378;911678;18401;17522;23237;59160
13.10.2014;346187;366540;225618;93564;1031917;21277;19762;27086;68125
14.10.2014;351830;364644;224958;94564;1035996;21708;20728;27747;70183
15.10.2014;352429;375621;232886;94902;1055851;22307;20896;28298;71501
16.10.2014;371694;386174;240225;92988;1091086;22754;21019;28442;72215
17.10.2014;376474;372455;247226;90989;1087155;22854;20525;28231;71610
18.10.2014;347268;328587;232139;80480;988482;20555;18564;24526;63645
19.10.2014;313109;322396;221324;81936;938770;20320;18114;24120;62554
20.10.2014;337606;372606;238294;97200;1045715;22589;20371;27714;70674
21.10.2014;354119;380123;247238;97556;1079045;23620;20683;28250;72553
22.10.2014;364274;391344;254035;97987;1107654;24230;21373;28905;74508
23.10.2014;370493;398392;261055;97248;1127199;25091;21916;29155;76162
24.10.2014;350648;384058;255058;95062;1084834;25593;21901;29090;76584
25.10.2014;326352;331608;229671;82368;970001;22475;19332;25631;67438
26.10.2014;331630;333240;222197;85018;972095;22353;19334;26033;67720
27.10.2014;339563;359162;227064;97248;1023041;23724;20946;28410;73080
28.10.2014;342760;356767;226423;95528;1021490;23031;20693;28703;72427
29.10.2014;346200;372517;226486;97168;1042376;22819;20735;28835;72389
30.10.2014;375872;397657;232149;97827;1103518;22889;21386;29661;73936
31.10.2014;382015;391871;243429;95030;1112345;22890;21108;28959;72957
01.11.2014;343550;343216;232430;81457;1000666;21076;18967;23623;63666
02.11.2014;324005;321508;221600;81355;948479;20557;17934;24025;62516
03.11.2014;350745;360654;229717;98318;1039441;23198;20661;28279;72138
04.11.2014;370030;377005;230162;98593;1075796;22794;20568;28256;71618
05.11.2014;394133;407535;239792;99297;1140761;23220;20884;28361;72465
06.11.2014;403176;433376;255091;99812;1191462;23908;21090;28522;73520
07.11.2014;412160;419514;262188;96688;1190556;23268;21436;28744;73448
08.11.2014;369602;372201;244119;84955;1070894;21001;18514;25280;64795
09.11.2014;346438;350265;222911;82602;1002223;20469;17918;24243;62630
10.11.2014;371052;389113;237417;99521;1097109;23894;21399;28424;73717
11.11.2014;378505;385283;233620;98510;1077193;23522;21527;28983;74032
12.11.2014;387456;396583;234730;101045;1119825;23440;21629;29078;74147
13.11.2014;388729;404359;244392;99332;1136813;23536;21859;29357;74752
14.11.2014;383134;392974;248422;98224;1122872;23963;21626;28970;74559
15.11.2014;361681;357657;229898;88121;1037354;21205;19213;25288;65706
16.11.2014;362386;360284;219592;88768;1031040;20997;18247;24087;63331
17.11.2014;397957;411530;245694;100618;1155809;24801;19199;28398;72398
18.11.2014;403608;409752;249586;102320;1164978;25517;18638;29049;73204
19.11.2014;405199;424549;249568;102236;1181573;26550;21969;29982;78501
20.11.2014;412346;425086;255360;102367;1195274;26758;22572;30405;79735
21.11.2014;413297;419305;264948;98763;1196322;26449;23146;30636;80231
22.11.2014;393459;390141;247335;88078;1118610;22795;21346;27265;71406
23.11.2014;375888;378061;236860;87588;1078423;22031;19464;26013;67508
24.11.2014;392652;413182;248644;100811;1155296;25746;22290;29908;77944
25.11.2014;402909;417890;248913;101133;1171099;26332;22774;31424;80530
26.11.2014;413183;436418;247839;103282;1200740;25941;23232;31568;80741
27.11.2014;419188;440196;248061;103490;1210998;26175;23220;31718;81113
28.11.2014;418434;429110;251928;102559;1202134;26482;23369;31546;81397
29.11.2014;399446;398061;238659;91517;1127690;24407;21350;28589;74346
30.11.2014;393640;396797;238638;91381;1120464;24354;21023;28107;73484
01.12.2014;424670;452783;264696;106203;1248367;28352;24349;32181;84882
02.12.2014;430328;454484;263806;108492;1257115;29024;24556;32401;85981
03.12.2014;427488;444583;251947;107859;1231890;27558;24559;32557;84674
04.12.2014;420690;444436;252379;106797;1224299;26777;24545;32752;84074
05.12.2014;417738;433869;257824;104180;1213620;26398;23898;31896;82192
06.12.2014;406860;392948;235635;88962;1124411;24122;21486;28786;74394
07.12.2014;388296;385884;232453;91191;1097841;22758;20177;27132;70067
08.12.2014;429657;433047;248489;105585;1216781;26223;23149;31212;80584
09.12.2014;446410;446899;245373;106626;1245314;26230;23173;31376;80779
10.12.2014;424970;452353;243447;109949;1230730;26303;23157;30886;80346
11.12.2014;427618;444683;245318;109527;1227144;26778;23288;31715;81781
12.12.2014;429100;438467;252434;107464;1227481;26352;22982;30829;80163
13.12.2014;416184;405919;239715;91144;1152967;23530;20320;26740;70590
14.12.2014;409790;401840;234034;92062;1137739;22575;19330;26460;68365
15.12.2014;422203;440826;248995;106808;1218837;25920;22611;30878;79409
16.12.2014;444387;453287;249971;107902;1255563;25469;22537;30710;78716
17.12.2014;458769;470672;252639;107789;1289873;25662;22740;30366;78768
18.12.2014;445241;451123;256315;107910;1260598;25706;22882;30671;79259
19.12.2014;434988;425345;253474;102328;1216142;25236;22150;29007;76393
20.12.2014;420482;405315;241327;95638;1162763;22859;19843;26220;68922
21.12.2014;417030;414667;235064;92358;1159130;22674;19477;25668;67819
22.12.2014;427267;434905;246146;100341;1208669;25311;22183;28731;76225
23.12.2014;429765;422044;247954;98052;1197829;24555;21505;27364;73424
24.12.2014;432686;407041;240302;89366;1169407;22850;19373;24188;66411
25.12.2014;447235;432158;241215;86743;1207360;22305;18634;22059;62998
26.12.2014;461079;451980;234711;89187;1236961;22696;19673;23971;66340
27.12.2014;466936;454412;243755;91422;1256534;23423;20131;25886;69440
28.12.2014;469610;489870;254943;92506;1306945;24164;20735;26620;71519
29.12.2014;473175;511412;287465;98060;1370117;26047;22762;29437;78246
30.12.2014;446102;447531;270934;94471;1259046;26361;22736;29999;79096
31.12.2014;410704;391979;243979;87336;1134008;23614;20195;28297;72106
